Part Number,Description,Type,Revision,Status,Source Object Id,attr:bulkModulus,attr:compressiveStrength,attr:dataSource,attr:density,attr:elongationAtBreak,attr:enduranceLimit,attr:materialCategory,attr:materialCode,attr:materialModel,attr:materialName,attr:maxServiceTemperature,attr:meltingSofteningPoint,attr:poissonsRatio,attr:referenceTemperature,attr:shearModulus,attr:shearStrength,attr:specificHeatCapacity,attr:thermalConductivity,attr:thermalExpansionCoeff,attr:ultimateTensileStrength,attr:unitSystem,attr:yieldStrength,attr:youngsModulus
,CFRP carbon PPS UD — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,117300,788.2,Curated engineering reference values; see Sources tab,1616,1.463,506.7,Composite,CFRPCARBONPPSUD,Orthotropic,CFRP carbon PPS UD,120,150,0.3,20,54140,653.1,900,5.213,0.000005,1126,SI,750.7,140800
,CFRP carbon nylon UD — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,108700,730.1,Curated engineering reference values; see Sources tab,1497,1.582,469.4,Composite,CFRPCARBONNYLONU,Orthotropic,CFRP carbon nylon UD,120,150,0.3,20,50150,605,900,4.829,0.000005,1043,SI,695.4,130400
,Aramid epoxy UD — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,59520,600,Curated engineering reference values; see Sources tab,1429,1.321,385.7,Composite,ARAMIDEPOXYUD,Orthotropic,Aramid epoxy UD,150,150,0.3,20,27470,497.1,900,0.5102,0.000005,857.1,SI,571.4,71430
,Aramid epoxy woven — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,60330,608.1,Curated engineering reference values; see Sources tab,1448,1.334,390.9,Composite,ARAMIDEPOXYWOVEN,Orthotropic,Aramid epoxy woven,150,150,0.3,20,27840,503.9,900,0.5171,0.000005,868.7,SI,579.1,72390
,Basalt epoxy UD — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,43710,440.6,Curated engineering reference values; see Sources tab,1888,1.594,283.2,Composite,BASALTEPOXYUD,Orthotropic,Basalt epoxy UD,120,150,0.3,20,20170,365,900,2.098,0.000005,629.4,SI,419.6,52450
,Basalt epoxy woven — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,40260,405.8,Curated engineering reference values; see Sources tab,1739,1.33,260.9,Composite,BASALTEPOXYWOVEN,Orthotropic,Basalt epoxy woven,120,150,0.3,20,18580,336.3,900,1.933,0.000005,579.8,SI,386.5,48320
,Carbon/epoxy quasi-isotropic — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,117500,789.5,Curated engineering reference values; see Sources tab,1619,1.333,507.6,Composite,CARBONEPOXYQUASI,Orthotropic,Carbon/epoxy quasi-isotropic,120,150,0.3,20,54230,654.2,900,5.222,0.000005,1128,SI,751.9,141000
,Carbon/PEEK quasi-isotropic — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,113600,763.4,Curated engineering reference values; see Sources tab,1565,1.353,490.8,Composite,CARBONPEEKQUASII,Orthotropic,Carbon/PEEK quasi-isotropic,120,150,0.3,20,52430,632.5,900,5.049,0.000005,1091,SI,727,136300
,Carbon/PPS quasi-isotropic — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,115300,775.1,Curated engineering reference values; see Sources tab,1589,1.623,498.3,Composite,CARBONPPSQUASIIS,Orthotropic,Carbon/PPS quasi-isotropic,120,150,0.3,20,53230,642.2,900,5.126,0.000005,1107,SI,738.2,138400
,Glass/epoxy quasi-isotropic — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,23790,439.7,Curated engineering reference values; see Sources tab,1808,1.459,282.7,Composite,GLASSEPOXYQUASII,Orthotropic,Glass/epoxy quasi-isotropic,120,150,0.3,20,10980,364.3,900,0.9518,0.000005,628.2,SI,418.8,28550
,Glass/polyester laminate — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,25430,469.9,Curated engineering reference values; see Sources tab,1932,1.713,302.1,Composite,GLASSPOLYESTERLA,Orthotropic,Glass/polyester laminate,120,150,0.3,20,11740,389.3,900,1.017,0.000005,671.3,SI,447.5,30510
,Glass/vinyl ester laminate — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,25010,462.2,Curated engineering reference values; see Sources tab,1901,1.668,297.2,Composite,GLASSVINYLESTERL,Orthotropic,Glass/vinyl ester laminate,120,150,0.3,20,11540,383,900,1.001,0.000005,660.4,SI,440.2,30020
,Glass mat polyester — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,25540,472.1,Curated engineering reference values; see Sources tab,1941,1.685,303.5,Composite,GLASSMATPOLYESTE,Orthotropic,Glass mat polyester,120,150,0.3,20,11790,391.1,900,1.022,0.000005,674.4,SI,449.6,30650
,Glass mat vinyl ester — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,24780,457.9,Curated engineering reference values; see Sources tab,1883,1.704,294.3,Composite,GLASSMATVINYLEST,Orthotropic,Glass mat vinyl ester,120,150,0.3,20,11440,379.4,900,0.9911,0.000005,654.1,SI,436.1,29730
,Carbon fiber SMC — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,112300,754.9,Curated engineering reference values; see Sources tab,1548,1.326,485.3,Composite,CARBONFIBERSMC,Orthotropic,Carbon fiber SMC,120,150,0.3,20,51840,625.4,900,4.992,0.000005,1078,SI,718.9,134800
,Glass fiber SMC — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,25290,467.4,Curated engineering reference values; see Sources tab,1922,1.418,300.5,Composite,GLASSFIBERSMC,Orthotropic,Glass fiber SMC,120,150,0.3,20,11670,387.3,900,1.012,0.000005,667.8,SI,445.2,30350
,Carbon fiber BMC — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,108400,728.5,Curated engineering reference values; see Sources tab,1494,1.651,468.3,Composite,CARBONFIBERBMC,Orthotropic,Carbon fiber BMC,120,150,0.3,20,50040,603.6,900,4.818,0.000005,1041,SI,693.8,130100
,Glass fiber BMC — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,24650,455.6,Curated engineering reference values; see Sources tab,1874,1.452,292.9,Composite,GLASSFIBERBMC,Orthotropic,Glass fiber BMC,120,150,0.3,20,11380,377.5,900,0.9861,0.000005,650.8,SI,433.9,29580
,Sheet molding compound epoxy — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,40740,410.7,Curated engineering reference values; see Sources tab,1760,1.407,264,Composite,SHEETMOLDINGCOMP,Orthotropic,Sheet molding compound epoxy,120,150,0.3,20,18800,340.3,900,1.956,0.000005,586.7,SI,391.1,48890
,Pultruded GFRP — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,25870,478.1,Curated engineering reference values; see Sources tab,1966,1.561,307.4,Composite,PULTRUDEDGFRP,Orthotropic,Pultruded GFRP,120,150,0.3,20,11940,396.2,900,1.035,0.000005,683.1,SI,455.4,31050
,Pultruded CFRP — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,112500,755.8,Curated engineering reference values; see Sources tab,1550,1.493,485.9,Composite,PULTRUDEDCFRP,Orthotropic,Pultruded CFRP,120,150,0.3,20,51910,626.2,900,4.999,0.000005,1080,SI,719.8,135000
,GFRP pultruded vinyl ester — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,26020,480.9,Curated engineering reference values; see Sources tab,1978,1.549,309.2,Composite,GFRPPULTRUDEDVIN,Orthotropic,GFRP pultruded vinyl ester,120,150,0.3,20,12010,398.5,900,1.041,0.000005,687,SI,458,31230
,CFRP pultruded epoxy — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,112500,756.2,Curated engineering reference values; see Sources tab,1550,1.345,486.1,Composite,CFRPPULTRUDEDEPO,Orthotropic,CFRP pultruded epoxy,120,150,0.3,20,51940,626.6,900,5.002,0.000005,1080,SI,720.2,135000
,FRP phenolic laminate — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,41950,422.8,Curated engineering reference values; see Sources tab,1812,1.388,271.8,Composite,FRPPHENOLICLAMIN,Orthotropic,FRP phenolic laminate,120,150,0.3,20,19360,350.4,900,2.014,0.000005,604.1,SI,402.7,50340
,G10 glass epoxy — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,25590,472.9,Curated engineering reference values; see Sources tab,1945,1.721,304,Composite,G10GLASSEPOXY,Orthotropic,G10 glass epoxy,120,150,0.3,20,11810,391.8,900,1.024,0.000005,675.5,SI,450.3,30710
,G11 glass epoxy — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,25020,462.5,Curated engineering reference values; see Sources tab,1902,1.322,297.3,Composite,G11GLASSEPOXY,Orthotropic,G11 glass epoxy,120,150,0.3,20,11550,383.2,900,1.001,0.000005,660.7,SI,440.4,30030
,FR4 glass epoxy — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,25420,469.8,Curated engineering reference values; see Sources tab,1932,1.424,302,Composite,FR4GLASSEPOXY,Orthotropic,FR4 glass epoxy,120,150,0.3,20,11730,389.2,900,1.017,0.000005,671.1,SI,447.4,30510
,Garolite G10 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,16650,419.5,Curated engineering reference values; see Sources tab,1848,1.478,269.7,Composite,GAROLITEG10,Orthotropic,Garolite G10,130,150,0.3,20,7684,347.6,900,0.2997,0.000005,599.3,SI,399.5,19980
,Garolite G11 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,17160,432.5,Curated engineering reference values; see Sources tab,1905,1.493,278,Composite,GAROLITEG11,Orthotropic,Garolite G11,130,150,0.3,20,7921,358.3,900,0.3089,0.000005,617.8,SI,411.9,20590
,Cotton phenolic laminate — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,40290,406.1,Curated engineering reference values; see Sources tab,1740,1.715,261.1,Composite,COTTONPHENOLICLA,Orthotropic,Cotton phenolic laminate,120,150,0.3,20,18590,336.5,900,1.934,0.000005,580.2,SI,386.8,48350
,Paper phenolic laminate — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,40850,411.7,Curated engineering reference values; see Sources tab,1765,1.521,264.7,Composite,PAPERPHENOLICLAM,Orthotropic,Paper phenolic laminate,120,150,0.3,20,18850,341.2,900,1.961,0.000005,588.2,SI,392.1,49020
,Canvas phenolic laminate — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,42710,430.5,Curated engineering reference values; see Sources tab,1845,1.295,276.8,Composite,CANVASPHENOLICLA,Orthotropic,Canvas phenolic laminate,120,150,0.3,20,19710,356.7,900,2.05,0.000005,615,SI,410,51250
,Carbon-carbon composite — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,108800,731.1,Curated engineering reference values; see Sources tab,1499,1.302,470,Composite,CARBONCARBONCOMP,Orthotropic,Carbon-carbon composite,120,150,0.3,20,50220,605.8,900,4.836,0.000005,1044,SI,696.3,130600
,C/C silicon carbide coated — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,41040,827.4,Curated engineering reference values; see Sources tab,1675,1.411,531.9,Composite,CCSILICONCARBIDE,Orthotropic,C/C silicon carbide coated,2500,150,0.3,20,18940,685.6,900,9.85,0.000005,1182,SI,788,49250
,SiC fiber SiC matrix — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,40260,405.8,Curated engineering reference values; see Sources tab,1739,1.33,260.9,Composite,SICFIBERSICMATRI,Orthotropic,SiC fiber SiC matrix,120,150,0.3,20,18580,336.3,900,1.933,0.000005,579.8,SI,386.5,48320
,Alumina fiber alumina matrix — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,42320,426.6,Curated engineering reference values; see Sources tab,1828,1.526,274.2,Composite,ALUMINAFIBERALUM,Orthotropic,Alumina fiber alumina matrix,120,150,0.3,20,19530,353.5,900,2.031,0.000005,609.4,SI,406.3,50790
,Glass ceramic composite — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,26230,484.8,Curated engineering reference values; see Sources tab,1994,1.601,311.7,Composite,GLASSCERAMICCOMP,Orthotropic,Glass ceramic composite,120,150,0.3,20,12110,401.7,900,1.049,0.000005,692.6,SI,461.7,31480
,Wood epoxy composite — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,40410,407.4,Curated engineering reference values; see Sources tab,1746,1.429,261.9,Composite,WOODEPOXYCOMPOSI,Orthotropic,Wood epoxy composite,120,150,0.3,20,18650,337.5,900,1.94,0.000005,581.9,SI,388,48500
,Bamboo fiber epoxy — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,42530,428.7,Curated engineering reference values; see Sources tab,1837,1.358,275.6,Composite,BAMBOOFIBEREPOXY,Orthotropic,Bamboo fiber epoxy,120,150,0.3,20,19630,355.2,900,2.042,0.000005,612.5,SI,408.3,51040
,Natural fiber flax epoxy — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,42060,424,Curated engineering reference values; see Sources tab,1817,1.279,272.6,Composite,NATURALFIBERFLAX,Orthotropic,Natural fiber flax epoxy,120,150,0.3,20,19410,351.3,900,2.019,0.000005,605.7,SI,403.8,50470
