Part Number,Description,Type,Revision,Status,Source Object Id,attr:bulkModulus,attr:compressiveStrength,attr:conditionTemper,attr:dataSource,attr:density,attr:elongationAtBreak,attr:enduranceLimit,attr:fractureToughness,attr:hardness,attr:materialCategory,attr:materialCode,attr:materialModel,attr:materialName,attr:maxServiceTemperature,attr:meltingSofteningPoint,attr:poissonsRatio,attr:referenceTemperature,attr:shearModulus,attr:shearStrength,attr:specificHeatCapacity,attr:specificationStandard,attr:thermalConductivity,attr:thermalExpansionCoeff,attr:ultimateTensileStrength,attr:unitSystem,attr:yieldStrength,attr:youngsModulus
,2024-T351 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,68770,254.3,T351,Curated engineering reference values; see Sources tab,2706,11.28,163.5,,HB 50-100,Metal,2024T351,Isotropic,2024-T351,150,650,0.33,20,26370,210.7,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,170.4,0.000023,363.3,SI,218,70150
,2024-T4 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,68490,253.2,T4,Curated engineering reference values; see Sources tab,2694,13.7,162.8,,HB 50-100,Metal,2024T4,Isotropic,2024-T4,150,650,0.33,20,26260,209.8,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,169.6,0.000023,361.8,SI,217.1,69860
,2024-T851 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,70810,261.8,T851,Curated engineering reference values; see Sources tab,2786,13.23,168.3,,HB 50-100,Metal,2024T851,Isotropic,2024-T851,150,650,0.33,20,27150,216.9,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,175.4,0.000023,374,SI,224.4,72230
,2219-T3 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,69460,177.1,T3,Curated engineering reference values; see Sources tab,2733,12.68,113.9,,HB 50-100,Metal,2219T3,Isotropic,2219-T3,150,650,0.33,20,26640,146.8,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,172.1,0.000023,253,SI,151.8,70850
,2219-T6 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,69790,178,T6,Curated engineering reference values; see Sources tab,2746,12.5,114.4,,HB 50-100,Metal,2219T6,Isotropic,2219-T6,150,650,0.33,20,26760,147.4,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,172.9,0.000023,254.2,SI,152.5,71180
,3003-O — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,71190,118,O,Curated engineering reference values; see Sources tab,2801,13.13,75.86,,HB 50-100,Metal,3003O,Isotropic,3003-O,150,650,0.33,20,27300,97.77,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,176.4,0.000023,168.6,SI,101.1,72610
,3003-H14 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,66940,170.7,H14,Curated engineering reference values; see Sources tab,2633,10.23,109.7,,HB 50-100,Metal,3003H14,Isotropic,3003-H14,150,650,0.33,20,25670,141.4,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,165.8,0.000023,243.8,SI,146.3,68280
,3003-H18 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,65380,200.1,H18,Curated engineering reference values; see Sources tab,2572,13.01,128.6,,HB 50-100,Metal,3003H18,Isotropic,3003-H18,150,650,0.33,20,25070,165.8,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,161.9,0.000023,285.8,SI,171.5,66680
,3004-H32 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,71590,182.5,H32,Curated engineering reference values; see Sources tab,2816,13.08,117.3,,HB 50-100,Metal,3004H32,Isotropic,3004-H32,150,650,0.33,20,27450,151.3,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,177.3,0.000023,260.8,SI,156.5,73020
,3004-H34 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,69480,177.2,H34,Curated engineering reference values; see Sources tab,2734,12.8,113.9,,HB 50-100,Metal,3004H34,Isotropic,3004-H34,150,650,0.33,20,26640,146.8,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,172.1,0.000023,253.1,SI,151.9,70870
,5052-O — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,69600,115.4,O,Curated engineering reference values; see Sources tab,2738,12.91,74.16,,HB 50-100,Metal,5052O,Isotropic,5052-O,150,650,0.33,20,26690,95.59,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,172.4,0.000023,164.8,SI,98.89,70990
,5052-H32 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,67840,173,H32,Curated engineering reference values; see Sources tab,2669,10.22,111.2,,HB 50-100,Metal,5052H32,Isotropic,5052-H32,150,650,0.33,20,26020,143.3,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,168.1,0.000023,247.1,SI,148.3,69200
,5052-H34 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,69050,176.1,H34,Curated engineering reference values; see Sources tab,2717,13.09,113.2,,HB 50-100,Metal,5052H34,Isotropic,5052-H34,150,650,0.33,20,26480,145.9,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,171,0.000023,251.5,SI,150.9,70430
,5052-H36 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,66320,169.1,H36,Curated engineering reference values; see Sources tab,2609,12.83,108.7,,HB 50-100,Metal,5052H36,Isotropic,5052-H36,150,650,0.33,20,25430,140.1,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,164.3,0.000023,241.6,SI,145,67640
,5052-H38 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,66950,170.7,H38,Curated engineering reference values; see Sources tab,2634,10.39,109.7,,HB 50-100,Metal,5052H38,Isotropic,5052-H38,150,650,0.33,20,25670,141.4,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,165.8,0.000023,243.9,SI,146.3,68280
,5083-H111 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,71260,181.7,H111,Curated engineering reference values; see Sources tab,2804,13.6,116.8,,HB 50-100,Metal,5083H111,Isotropic,5083-H111,150,650,0.33,20,27330,150.6,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,176.5,0.000023,259.6,SI,155.8,72690
,5083-H116 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,69430,177,H116,Curated engineering reference values; see Sources tab,2732,13.43,113.8,,HB 50-100,Metal,5083H116,Isotropic,5083-H116,150,650,0.33,20,26620,146.7,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,172,0.000023,252.9,SI,151.8,70820
,5086-H32 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,69280,176.7,H32,Curated engineering reference values; see Sources tab,2726,10.64,113.6,,HB 50-100,Metal,5086H32,Isotropic,5086-H32,150,650,0.33,20,26560,146.4,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,171.6,0.000023,252.4,SI,151.4,70660
,5454-H32 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,66950,170.7,H32,Curated engineering reference values; see Sources tab,2634,10.39,109.7,,HB 50-100,Metal,5454H32,Isotropic,5454-H32,150,650,0.33,20,25670,141.4,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,165.8,0.000023,243.9,SI,146.3,68280
,5456-H116 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,69850,178.1,H116,Curated engineering reference values; see Sources tab,2748,11.9,114.5,,HB 50-100,Metal,5456H116,Isotropic,5456-H116,150,650,0.33,20,26780,147.6,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,173,0.000023,254.4,SI,152.7,71250
,6061-O — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,70890,135.1,O,Curated engineering reference values; see Sources tab,2789,11.31,86.87,,HB 50-100,Metal,6061O,Isotropic,6061-O,150,650,0.33,20,27180,112,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,175.6,0.000023,193,SI,115.8,72310
,6061-T4 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,69460,203.7,T4,Curated engineering reference values; see Sources tab,2733,12.68,131,,HB 50-100,Metal,6061T4,Isotropic,6061-T4,150,650,0.33,20,26640,168.8,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,172.1,0.000023,291,SI,174.6,70850
,6061-T6 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,70710,207.4,T6,Curated engineering reference values; see Sources tab,2782,11.53,133.3,,HB 50-100,Metal,6061T6,Isotropic,6061-T6,150,650,0.33,20,27110,171.8,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,175.2,0.000023,296.2,SI,177.7,72120
,6061-T651 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,71380,209.3,T651,Curated engineering reference values; see Sources tab,2808,11.9,134.6,,HB 50-100,Metal,6061T651,Isotropic,6061-T651,150,650,0.33,20,27370,173.4,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,176.8,0.000023,299,SI,179.4,72810
,6063-T5 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,69790,178,T5,Curated engineering reference values; see Sources tab,2746,12.5,114.4,,HB 50-100,Metal,6063T5,Isotropic,6063-T5,150,650,0.33,20,26760,147.4,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,172.9,0.000023,254.2,SI,152.5,71180
,6063-T6 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,69090,176.2,T6,Curated engineering reference values; see Sources tab,2718,10.52,113.3,,HB 50-100,Metal,6063T6,Isotropic,6063-T6,150,650,0.33,20,26490,146,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,171.1,0.000023,251.7,SI,151,70470
,6082-T6 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,68580,201.1,T6,Curated engineering reference values; see Sources tab,2698,13.65,129.3,,HB 50-100,Metal,6082T6,Isotropic,6082-T6,150,650,0.33,20,26300,166.6,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,169.9,0.000023,287.3,SI,172.4,69950
,7050-T7451 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,68490,349.3,T7451,Curated engineering reference values; see Sources tab,2695,10.78,224.6,,HB 50-100,Metal,7050T7451,Isotropic,7050-T7451,150,650,0.33,20,26260,289.4,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,169.7,0.000023,499,SI,299.4,69860
,7050-T7651 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,69760,355.8,T7651,Curated engineering reference values; see Sources tab,2745,11.21,228.7,,HB 50-100,Metal,7050T7651,Isotropic,7050-T7651,150,650,0.33,20,26750,294.8,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,172.8,0.000023,508.3,SI,305,71160
,7075-O — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,66190,219.4,O,Curated engineering reference values; see Sources tab,2604,12.98,141.1,,HB 50-100,Metal,7075O,Isotropic,7075-O,150,650,0.33,20,25380,181.8,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,164,0.000023,313.4,SI,188.1,67510
,7075-T6 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,71920,366.8,T6,Curated engineering reference values; see Sources tab,2829,11.09,235.8,,HB 50-100,Metal,7075T6,Isotropic,7075-T6,150,650,0.33,20,27580,303.9,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,178.1,0.000023,524,SI,314.4,73350
,7075-T651 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,70210,358,T651,Curated engineering reference values; see Sources tab,2762,11.83,230.2,,HB 50-100,Metal,7075T651,Isotropic,7075-T651,150,650,0.33,20,26920,296.7,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,173.9,0.000023,511.5,SI,306.9,71610
,7075-T73 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,70600,360.1,T73,Curated engineering reference values; see Sources tab,2778,12.96,231.5,,HB 50-100,Metal,7075T73,Isotropic,7075-T73,150,650,0.33,20,27070,298.3,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,174.9,0.000023,514.4,SI,308.6,72010
