Part Number,Description,Type,Revision,Status,Source Object Id,attr:bulkModulus,attr:compressiveStrength,attr:dataSource,attr:density,attr:elongationAtBreak,attr:enduranceLimit,attr:materialCategory,attr:materialCode,attr:materialModel,attr:materialName,attr:maxServiceTemperature,attr:meltingSofteningPoint,attr:poissonsRatio,attr:referenceTemperature,attr:shearModulus,attr:shearStrength,attr:specificHeatCapacity,attr:thermalConductivity,attr:thermalExpansionCoeff,attr:ultimateTensileStrength,attr:unitSystem,attr:yieldStrength,attr:youngsModulus
,Aspen — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,5319,21.32,Curated engineering reference values; see Sources tab,239.4,0.9562,13.71,Composite,ASPEN,Orthotropic,Aspen,80,0,0.35,20,1773,17.67,1600,0.08801,0.000004,30.46,SI,17.41,4787
,Cottonwood — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,5673,22.74,Curated engineering reference values; see Sources tab,255.3,0.9984,14.62,Composite,COTTONWOOD,Orthotropic,Cottonwood,80,0,0.35,20,1891,18.85,1600,0.09387,0.000004,32.49,SI,18.57,5106
,Bald Cypress — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12150,48.69,Curated engineering reference values; see Sources tab,546.6,1.057,31.3,Composite,BALDCYPRESS,Orthotropic,Bald Cypress,80,0,0.35,20,4049,40.35,1600,0.1292,0.000004,69.56,SI,39.75,10930
,Redwood — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12680,50.84,Curated engineering reference values; see Sources tab,570.6,0.9371,32.68,Composite,REDWOOD,Orthotropic,Redwood,80,0,0.35,20,4227,42.12,1600,0.1349,0.000004,72.63,SI,41.5,11410
,Teak — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12430,49.83,Curated engineering reference values; see Sources tab,559.3,1.041,32.03,Composite,TEAK,Orthotropic,Teak,80,0,0.35,20,4143,41.29,1600,0.1322,0.000004,71.18,SI,40.68,11190
,Ipe — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12210,48.96,Curated engineering reference values; see Sources tab,549.5,0.945,31.47,Composite,IPE,Orthotropic,Ipe,80,0,0.35,20,4071,40.57,1600,0.1299,0.000004,69.94,SI,39.97,10990
,Mahogany — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,11880,47.61,Curated engineering reference values; see Sources tab,534.4,1.125,30.61,Composite,MAHOGANY,Orthotropic,Mahogany,80,0,0.35,20,3959,39.45,1600,0.1263,0.000004,68.02,SI,38.87,10690
,Sapele — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12100,48.52,Curated engineering reference values; see Sources tab,544.6,0.9504,31.19,Composite,SAPELE,Orthotropic,Sapele,80,0,0.35,20,4034,40.2,1600,0.1287,0.000004,69.31,SI,39.61,10890
,Bamboo laminated — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,13570,54.39,Curated engineering reference values; see Sources tab,610.6,0.9015,34.97,Composite,BAMBOOLAMINATED,Orthotropic,Bamboo laminated,80,0,0.35,20,4523,45.07,1600,0.1443,0.000004,77.71,SI,44.4,12210
,Plywood birch — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,9477,37.99,Curated engineering reference values; see Sources tab,426.5,0.8874,24.42,Composite,PLYWOODBIRCH,Orthotropic,Plywood birch,80,0,0.35,20,3159,31.48,1600,0.1008,0.000004,54.28,SI,31.02,8529
,Plywood softwood — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,9484,38.02,Curated engineering reference values; see Sources tab,426.8,0.9345,24.44,Composite,PLYWOODSOFTWOOD,Orthotropic,Plywood softwood,80,0,0.35,20,3161,31.5,1600,0.1009,0.000004,54.32,SI,31.04,8535
,OSB — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,9551,38.29,Curated engineering reference values; see Sources tab,429.8,1.059,24.62,Composite,OSB,Orthotropic,OSB,80,0,0.35,20,3184,31.73,1600,0.1016,0.000004,54.7,SI,31.26,8596
,MDF — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,8749,35.07,Curated engineering reference values; see Sources tab,393.7,1.126,22.55,Composite,MDF,Orthotropic,MDF,80,0,0.35,20,2916,29.06,1600,0.09305,0.000004,50.11,SI,28.63,7874
,Particleboard — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,9031,36.21,Curated engineering reference values; see Sources tab,406.4,1.107,23.28,Composite,PARTICLEBOARD,Orthotropic,Particleboard,80,0,0.35,20,3010,30,1600,0.09606,0.000004,51.72,SI,29.56,8128
,LVL spruce — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,11980,48.05,Curated engineering reference values; see Sources tab,539.3,1.012,30.89,Composite,LVLSPRUCE,Orthotropic,LVL spruce,80,0,0.35,20,3995,39.81,1600,0.1275,0.000004,68.64,SI,39.22,10790
,Glulam Douglas Fir — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12050,48.3,Curated engineering reference values; see Sources tab,542.1,1.116,31.05,Composite,GLULAMDOUGLASFIR,Orthotropic,Glulam Douglas Fir,80,0,0.35,20,4016,40.02,1600,0.1281,0.000004,69,SI,39.43,10840
,Cross-laminated timber spruce — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,11820,47.4,Curated engineering reference values; see Sources tab,532,1.051,30.47,Composite,CROSSLAMINATEDTI,Orthotropic,Cross-laminated timber spruce,80,0,0.35,20,3941,39.27,1600,0.1257,0.000004,67.71,SI,38.69,10640
,Cork — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,5244,21.03,Curated engineering reference values; see Sources tab,236,1.063,13.52,Composite,CORK,Orthotropic,Cork,80,0,0.35,20,1748,17.42,1600,0.08677,0.000004,30.04,SI,17.16,4720
