Part Number,Description,Type,Revision,Status,Source Object Id,attr:bulkModulus,attr:compressiveStrength,attr:dataSource,attr:density,attr:elongationAtBreak,attr:enduranceLimit,attr:materialCategory,attr:materialCode,attr:materialModel,attr:materialName,attr:maxServiceTemperature,attr:meltingSofteningPoint,attr:poissonsRatio,attr:referenceTemperature,attr:shearModulus,attr:shearStrength,attr:specificHeatCapacity,attr:specificationStandard,attr:thermalConductivity,attr:thermalExpansionCoeff,attr:ultimateTensileStrength,attr:unitSystem,attr:yieldStrength,attr:youngsModulus
,Ti-6242 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,93570,692.9,Curated engineering reference values; see Sources tab,4331,13.12,381.1,Metal,TI6242,Isotropic,Ti-6242,400,1660,0.32,20,38280,491.2,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.4,0.0000086,846.9,SI,692.9,101100
,Ti-6246 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,95360,706.2,Curated engineering reference values; see Sources tab,4414,12.81,388.4,Metal,TI6246,Isotropic,Ti-6246,400,1660,0.32,20,39010,500.6,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.69,0.0000086,863.2,SI,706.2,103000
,Ti-5553 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,95360,706.2,Curated engineering reference values; see Sources tab,4414,12.81,388.4,Metal,TI5553,Isotropic,Ti-5553,400,1660,0.32,20,39010,500.6,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.69,0.0000086,863.2,SI,706.2,103000
,Ti-1023 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,98030,726,Curated engineering reference values; see Sources tab,4538,15.74,399.3,Metal,TI1023,Isotropic,Ti-1023,400,1660,0.32,20,40100,514.7,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.13,0.0000086,887.3,SI,726,105900
,Ti-15-3 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,98030,453.8,Curated engineering reference values; see Sources tab,4538,15.74,249.6,Metal,TI153,Isotropic,Ti-15-3,400,1660,0.32,20,40100,321.7,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.13,0.0000086,554.6,SI,453.8,105900
,Ti-10-2-3 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,93110,430.9,Curated engineering reference values; see Sources tab,4309,14.49,237,Metal,TI1023,Isotropic,Ti-10-2-3,400,1660,0.32,20,38090,305.5,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.32,0.0000086,526.7,SI,430.9,100600
,Ti-6-2-4-2 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,95330,441.2,Curated engineering reference values; see Sources tab,4412,16.86,242.7,Metal,TI6242,Isotropic,Ti-6-2-4-2,400,1660,0.32,20,39000,312.8,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.69,0.0000086,539.3,SI,441.2,103000
,Ti-6-2-4-6 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,95430,706.8,Curated engineering reference values; see Sources tab,4417,14.55,388.7,Metal,TI6246,Isotropic,Ti-6-2-4-6,400,1660,0.32,20,39040,501,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.71,0.0000086,863.8,SI,706.8,103100
,Ti-6-2-4-2-Si — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,95900,443.9,Curated engineering reference values; see Sources tab,4439,15.67,244.1,Metal,TI6242SI,Isotropic,Ti-6-2-4-2-Si,400,1660,0.32,20,39230,314.7,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.78,0.0000086,542.5,SI,443.9,103600
,Ti-1100 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,94840,439,Curated engineering reference values; see Sources tab,4390,12.98,241.4,Metal,TI1100,Isotropic,Ti-1100,400,1660,0.32,20,38800,311.2,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.61,0.0000086,536.5,SI,439,102400
,Ti-6Al-7Nb — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,92390,427.6,Curated engineering reference values; see Sources tab,4276,13.6,235.2,Metal,TI6AL7NB,Isotropic,Ti-6Al-7Nb,400,1660,0.32,20,37800,303.1,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.2,0.0000086,522.7,SI,427.6,99780
,Ti-6Al-7Nb ELI — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,97540,451.5,Curated engineering reference values; see Sources tab,4515,15.13,248.3,Metal,TI6AL7NBELI,Isotropic,Ti-6Al-7Nb ELI,400,1660,0.32,20,39900,320,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.05,0.0000086,551.8,SI,451.5,105300
,Ti-5Al-5Mo-5V-3Cr — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,99290,459.6,Curated engineering reference values; see Sources tab,4596,12.88,252.8,Metal,TI5AL5MO5V3CR,Isotropic,Ti-5Al-5Mo-5V-3Cr,400,1660,0.32,20,40620,325.8,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.34,0.0000086,561.7,SI,459.6,107200
,Ti-6Al-2Nb-1Ta-0.8Mo — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,93210,431.4,Curated engineering reference values; see Sources tab,4314,13.2,237.3,Metal,TI6AL2NB1TA08MO,Isotropic,Ti-6Al-2Nb-1Ta-0.8Mo,400,1660,0.32,20,38130,305.8,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.34,0.0000086,527.3,SI,431.4,100700
,Ti-5Al-5V-5Mo-3Cr — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,99290,459.6,Curated engineering reference values; see Sources tab,4596,12.88,252.8,Metal,TI5AL5V5MO3CR,Isotropic,Ti-5Al-5V-5Mo-3Cr,400,1660,0.32,20,40620,325.8,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.34,0.0000086,561.7,SI,459.6,107200
,Ti-17 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,93430,691.9,Curated engineering reference values; see Sources tab,4324,14.01,380.5,Metal,TI17,Isotropic,Ti-17,400,1660,0.32,20,38220,490.5,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.38,0.0000086,845.6,SI,691.9,100900
,Ti-17 beta treated — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,100000,740.8,Curated engineering reference values; see Sources tab,4630,16.18,407.4,Metal,TI17BETATREATED,Isotropic,Ti-17 beta treated,400,1660,0.32,20,40920,525.1,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.46,0.0000086,905.4,SI,740.8,108000
,Ti-6242S — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,101900,754.3,Curated engineering reference values; see Sources tab,4715,15.82,414.9,Metal,TI6242S,Isotropic,Ti-6242S,400,1660,0.32,20,41670,534.7,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.76,0.0000086,922,SI,754.3,110000
,Ti-6-6-2 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,97430,450.9,Curated engineering reference values; see Sources tab,4509,14.1,248,Metal,TI662,Isotropic,Ti-6-6-2,400,1660,0.32,20,39860,319.7,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.03,0.0000086,551.2,SI,450.9,105200
,Ti-6-4 powder metallurgy — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,95650,442.7,Curated engineering reference values; see Sources tab,4427,16.21,243.5,Metal,TI64POWDERMETALL,Isotropic,Ti-6-4 powder metallurgy,400,1660,0.32,20,39130,313.8,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.74,0.0000086,541.1,SI,442.7,103300
,Ti-6-4 HIP — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,98780,457.2,Curated engineering reference values; see Sources tab,4572,13.88,251.5,Metal,TI64HIP,Isotropic,Ti-6-4 HIP,400,1660,0.32,20,40410,324.1,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.26,0.0000086,558.8,SI,457.2,106700
,Ti-6-4 forged — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,94970,505.5,Curated engineering reference values; see Sources tab,4396,13.47,278,Metal,TI64FORGED,Isotropic,Ti-6-4 forged,400,1660,0.32,20,38850,358.3,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.63,0.0000086,617.8,SI,505.5,102600
,Ti-6-4 cast — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,98630,456.5,Curated engineering reference values; see Sources tab,4565,16.07,251.1,Metal,TI64CAST,Isotropic,Ti-6-4 cast,400,1660,0.32,20,40350,323.6,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.23,0.0000086,558,SI,456.5,106500
,Ti-6-4 weld wire — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,94400,437,Curated engineering reference values; see Sources tab,4370,13.86,240.3,Metal,TI64WELDWIRE,Isotropic,Ti-6-4 weld wire,400,1660,0.32,20,38620,309.8,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.54,0.0000086,534.1,SI,437,102000
,Ti Grade 2 sheet — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,98930,343.4,Curated engineering reference values; see Sources tab,4579,13.39,188.9,Metal,TIGRADE2SHEET,Isotropic,Ti Grade 2 sheet,400,1660,0.32,20,40470,243.5,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.28,0.0000086,419.8,SI,343.4,106800
,Ti Grade 2 plate — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,95260,330.7,Curated engineering reference values; see Sources tab,4409,16.75,181.9,Metal,TIGRADE2PLATE,Isotropic,Ti Grade 2 plate,400,1660,0.32,20,38970,234.4,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.68,0.0000086,404.2,SI,330.7,102900
,Ti Grade 2 bar — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,97200,337.4,Curated engineering reference values; see Sources tab,4499,13.9,185.6,Metal,TIGRADE2BAR,Isotropic,Ti Grade 2 bar,400,1660,0.32,20,39760,239.2,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16,0.0000086,412.4,SI,337.4,105000
,Ti Grade 5 sheet — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,92490,556.5,Curated engineering reference values; see Sources tab,4281,13.14,306.1,Metal,TIGRADE5SHEET,Isotropic,Ti Grade 5 sheet,400,1660,0.32,20,37840,394.5,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.22,0.0000086,680.2,SI,556.5,99890
,Ti Grade 5 plate — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,98930,595.3,Curated engineering reference values; see Sources tab,4579,13.39,327.4,Metal,TIGRADE5PLATE,Isotropic,Ti Grade 5 plate,400,1660,0.32,20,40470,422,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.28,0.0000086,727.6,SI,595.3,106800
,Ti Grade 5 bar — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,97630,587.5,Curated engineering reference values; see Sources tab,4519,16.04,323.1,Metal,TIGRADE5BAR,Isotropic,Ti Grade 5 bar,400,1660,0.32,20,39940,416.5,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.07,0.0000086,718,SI,587.5,105400
,Ti Grade 9 tube — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,97320,450.5,Curated engineering reference values; see Sources tab,4505,13.66,247.7,Metal,TIGRADE9TUBE,Isotropic,Ti Grade 9 tube,400,1660,0.32,20,39810,319.3,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.02,0.0000086,550.6,SI,450.5,105100
,Ti Grade 12 plate — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,99470,253.2,Curated engineering reference values; see Sources tab,4604,14.74,139.3,Metal,TIGRADE12PLATE,Isotropic,Ti Grade 12 plate,400,1660,0.32,20,40690,179.5,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.37,0.0000086,309.5,SI,253.2,107400
,Ti Grade 23 bar — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,98140,340.7,Curated engineering reference values; see Sources tab,4542,14.26,187.4,Metal,TIGRADE23BAR,Isotropic,Ti Grade 23 bar,400,1660,0.32,20,40150,241.5,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.15,0.0000086,416.4,SI,340.7,106000
