Part Number,Description,Type,Revision,Status,Source Object Id,attr:bulkModulus,attr:compressiveStrength,attr:dataSource,attr:density,attr:elongationAtBreak,attr:enduranceLimit,attr:materialCategory,attr:materialCode,attr:materialModel,attr:materialName,attr:maxServiceTemperature,attr:meltingSofteningPoint,attr:poissonsRatio,attr:referenceTemperature,attr:shearModulus,attr:shearStrength,attr:specificHeatCapacity,attr:specificationStandard,attr:thermalConductivity,attr:thermalExpansionCoeff,attr:ultimateTensileStrength,attr:unitSystem,attr:yieldStrength,attr:youngsModulus
,C18150 chromium copper — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,116800,214,Curated engineering reference values; see Sources tab,8663,22.62,137.6,Metal,C18150CHROMIUMCO,Isotropic,C18150 chromium copper,250,1000,0.34,20,41830,177.3,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,122.3,0.000017,305.7,SI,203.8,112100
,C18200 chromium copper — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,110600,202.6,Curated engineering reference values; see Sources tab,8202,23.06,130.3,Metal,C18200CHROMIUMCO,Isotropic,C18200 chromium copper,250,1000,0.34,20,39600,167.9,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,115.8,0.000017,289.5,SI,193,106100
,C18400 chromium copper — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,114900,210.5,Curated engineering reference values; see Sources tab,8521,22.01,135.3,Metal,C18400CHROMIUMCO,Isotropic,C18400 chromium copper,250,1000,0.34,20,41150,174.4,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,120.3,0.000017,300.7,SI,200.5,110300
,C19400 copper alloy — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,119900,219.7,Curated engineering reference values; see Sources tab,8894,26.78,141.3,Metal,C19400COPPERALLO,Isotropic,C19400 copper alloy,250,1000,0.34,20,42950,182.1,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,125.6,0.000017,313.9,SI,209.3,115100
,C26000 cartridge brass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,115600,211.9,Curated engineering reference values; see Sources tab,8577,26.42,136.2,Metal,C26000CARTRIDGEB,Isotropic,C26000 cartridge brass,250,1000,0.34,20,41420,175.6,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,121.1,0.000017,302.7,SI,201.8,111000
,C27000 yellow brass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,109800,201.2,Curated engineering reference values; see Sources tab,8143,25.6,129.3,Metal,C27000YELLOWBRAS,Isotropic,C27000 yellow brass,250,1000,0.34,20,39320,166.7,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,115,0.000017,287.4,SI,191.6,105400
,C36000 free-cutting brass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,119100,218.2,Curated engineering reference values; see Sources tab,8834,26.74,140.3,Metal,C36000FREECUTTIN,Isotropic,C36000 free-cutting brass,250,1000,0.34,20,42660,180.8,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,124.7,0.000017,311.8,SI,207.8,114300
,C46400 naval brass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,117100,214.6,Curated engineering reference values; see Sources tab,8687,26.07,138,Metal,C46400NAVALBRASS,Isotropic,C46400 naval brass,250,1000,0.34,20,41950,177.8,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,122.6,0.000017,306.6,SI,204.4,112400
,C51000 phosphor bronze — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,109400,200.5,Curated engineering reference values; see Sources tab,8114,28.12,128.9,Metal,C51000PHOSPHORBR,Isotropic,C51000 phosphor bronze,250,1000,0.34,20,39180,166.1,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,114.6,0.000017,286.4,SI,190.9,105000
,C52100 phosphor bronze — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,109700,201,Curated engineering reference values; see Sources tab,8138,22.72,129.2,Metal,C52100PHOSPHORBR,Isotropic,C52100 phosphor bronze,250,1000,0.34,20,39300,166.6,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,114.9,0.000017,287.2,SI,191.5,105300
,C54400 free-cutting phosphor bronze — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,114000,208.9,Curated engineering reference values; see Sources tab,8455,23.2,134.3,Metal,C54400FREECUTTIN,Isotropic,C54400 free-cutting phosphor bronze,250,1000,0.34,20,40830,173.1,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,119.4,0.000017,298.4,SI,198.9,109400
,C63000 aluminum bronze — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,111300,305.9,Curated engineering reference values; see Sources tab,8254,26.12,196.6,Metal,C63000ALUMINUMBR,Isotropic,C63000 aluminum bronze,250,1000,0.34,20,39860,253.5,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,116.5,0.000017,437,SI,291.3,106800
,C63200 aluminum bronze — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,109600,301.2,Curated engineering reference values; see Sources tab,8128,28.07,193.6,Metal,C63200ALUMINUMBR,Isotropic,C63200 aluminum bronze,250,1000,0.34,20,39250,249.6,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,114.7,0.000017,430.3,SI,286.9,105200
,C95400 aluminum bronze — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,111500,306.5,Curated engineering reference values; see Sources tab,8272,27.8,197.1,Metal,C95400ALUMINUMBR,Isotropic,C95400 aluminum bronze,250,1000,0.34,20,39940,254,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,116.8,0.000017,437.9,SI,291.9,107000
,C95500 aluminum bronze — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,109700,301.6,Curated engineering reference values; see Sources tab,8138,22.72,193.9,Metal,C95500ALUMINUMBR,Isotropic,C95500 aluminum bronze,250,1000,0.34,20,39300,249.9,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,114.9,0.000017,430.8,SI,287.2,105300
,C93200 bearing bronze — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,109100,200,Curated engineering reference values; see Sources tab,8096,25.12,128.6,Metal,C93200BEARINGBRO,Isotropic,C93200 bearing bronze,250,1000,0.34,20,39090,165.7,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,114.3,0.000017,285.7,SI,190.5,104800
,C86300 manganese bronze — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,119800,219.5,Curated engineering reference values; see Sources tab,8886,24.8,141.1,Metal,C86300MANGANESEB,Isotropic,C86300 manganese bronze,250,1000,0.34,20,42910,181.9,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,125.4,0.000017,313.6,SI,209.1,115000
,C90500 tin bronze — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,116900,214.3,Curated engineering reference values; see Sources tab,8673,22.02,137.8,Metal,C90500TINBRONZE,Isotropic,C90500 tin bronze,250,1000,0.34,20,41880,177.5,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,122.4,0.000017,306.1,SI,204.1,112200
,C90700 tin bronze — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,109000,199.8,Curated engineering reference values; see Sources tab,8085,28.27,128.4,Metal,C90700TINBRONZE,Isotropic,C90700 tin bronze,250,1000,0.34,20,39040,165.5,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,114.1,0.000017,285.4,SI,190.2,104600
,C92200 tin bronze — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,116500,213.5,Curated engineering reference values; see Sources tab,8643,23.74,137.3,Metal,C92200TINBRONZE,Isotropic,C92200 tin bronze,250,1000,0.34,20,41740,176.9,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,122,0.000017,305.1,SI,203.4,111900
,C95410 aluminum bronze — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,109700,301.6,Curated engineering reference values; see Sources tab,8138,22.72,193.9,Metal,C95410ALUMINUMBR,Isotropic,C95410 aluminum bronze,250,1000,0.34,20,39300,249.9,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,114.9,0.000017,430.8,SI,287.2,105300
,C99700 aluminum bronze — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,119300,327.8,Curated engineering reference values; see Sources tab,8846,26.7,210.8,Metal,C99700ALUMINUMBR,Isotropic,C99700 aluminum bronze,250,1000,0.34,20,42720,271.6,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,124.9,0.000017,468.3,SI,312.2,114500
,CuCr1 copper chromium — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,117100,214.7,Curated engineering reference values; see Sources tab,8689,24.66,138,Metal,CUCR1COPPERCHROM,Isotropic,CuCr1 copper chromium,250,1000,0.34,20,41960,177.9,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,122.7,0.000017,306.7,SI,204.4,112400
,CuCrZr copper chromium zirconium — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,109400,200.5,Curated engineering reference values; see Sources tab,8116,23.79,128.9,Metal,CUCRZRCOPPERCHRO,Isotropic,CuCrZr copper chromium zirconium,250,1000,0.34,20,39190,166.1,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,114.6,0.000017,286.5,SI,191,105000
,CuNi2Si copper nickel silicon — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,117100,214.6,Curated engineering reference values; see Sources tab,8686,23.83,138,Metal,CUNI2SICOPPERNIC,Isotropic,CuNi2Si copper nickel silicon,250,1000,0.34,20,41940,177.8,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,122.6,0.000017,306.6,SI,204.4,112400
,CuNi10 copper nickel — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,115200,211,Curated engineering reference values; see Sources tab,8542,26.21,135.7,Metal,CUNI10COPPERNICK,Isotropic,CuNi10 copper nickel,250,1000,0.34,20,41250,174.9,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,120.6,0.000017,301.5,SI,201,110500
,CuNi30 copper nickel — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,117500,215.3,Curated engineering reference values; see Sources tab,8716,28.59,138.4,Metal,CUNI30COPPERNICK,Isotropic,CuNi30 copper nickel,250,1000,0.34,20,42090,178.4,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,123.1,0.000017,307.6,SI,205.1,112800
,CuZn37 brass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,115000,210.7,Curated engineering reference values; see Sources tab,8529,23.7,135.5,Metal,CUZN37BRASS,Isotropic,CuZn37 brass,250,1000,0.34,20,41180,174.6,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,120.4,0.000017,301,SI,200.7,110400
,CuZn40 brass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,109800,201.3,Curated engineering reference values; see Sources tab,8148,23.86,129.4,Metal,CUZN40BRASS,Isotropic,CuZn40 brass,250,1000,0.34,20,39350,166.8,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,115,0.000017,287.6,SI,191.7,105400
,CuSn6 phosphor bronze — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,109700,201.1,Curated engineering reference values; see Sources tab,8141,23.95,129.3,Metal,CUSN6PHOSPHORBRO,Isotropic,CuSn6 phosphor bronze,250,1000,0.34,20,39310,166.6,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,114.9,0.000017,287.3,SI,191.5,105300
,CuSn8 phosphor bronze — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,118900,217.9,Curated engineering reference values; see Sources tab,8821,21.67,140.1,Metal,CUSN8PHOSPHORBRO,Isotropic,CuSn8 phosphor bronze,250,1000,0.34,20,42590,180.6,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,124.5,0.000017,311.3,SI,207.6,114200
,CuSn12 tin bronze — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,116000,212.6,Curated engineering reference values; see Sources tab,8604,25.29,136.7,Metal,CUSN12TINBRONZE,Isotropic,CuSn12 tin bronze,250,1000,0.34,20,41550,176.1,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,121.5,0.000017,303.7,SI,202.4,111300
,CuAl10Fe5Ni5 bronze — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,118100,216.5,Curated engineering reference values; see Sources tab,8762,23.57,139.2,Metal,CUAL10FE5NI5BRON,Isotropic,CuAl10Fe5Ni5 bronze,250,1000,0.34,20,42310,179.4,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,123.7,0.000017,309.2,SI,206.2,113400
,CuAl9Ni5Fe4 bronze — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,117500,215.3,Curated engineering reference values; see Sources tab,8715,26.9,138.4,Metal,CUAL9NI5FE4BRONZ,Isotropic,CuAl9Ni5Fe4 bronze,250,1000,0.34,20,42080,178.4,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,123,0.000017,307.6,SI,205,112800
,CuBe2 solution treated — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,117800,215.8,Curated engineering reference values; see Sources tab,8736,25.07,138.8,Metal,CUBE2SOLUTIONTRE,Isotropic,CuBe2 solution treated,250,1000,0.34,20,42190,178.8,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,123.3,0.000017,308.3,SI,205.6,113100
,CuBe2 aged — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,112200,205.7,Curated engineering reference values; see Sources tab,8326,22.72,132.2,Metal,CUBE2AGED,Isotropic,CuBe2 aged,250,1000,0.34,20,40210,170.4,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,117.5,0.000017,293.9,SI,195.9,107700
,CuNi18Zn20 nickel silver — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,112400,206.1,Curated engineering reference values; see Sources tab,8341,27.02,132.5,Metal,CUNI18ZN20NICKEL,Isotropic,CuNi18Zn20 nickel silver,250,1000,0.34,20,40280,170.8,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,117.8,0.000017,294.4,SI,196.3,107900
,CuNi12Zn24 nickel silver — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,116900,214.3,Curated engineering reference values; see Sources tab,8674,24.35,137.8,Metal,CUNI12ZN24NICKEL,Isotropic,CuNi12Zn24 nickel silver,250,1000,0.34,20,41880,177.6,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,122.4,0.000017,306.1,SI,204.1,112200
,CuZn30 brass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,110300,202.1,Curated engineering reference values; see Sources tab,8181,27.55,129.9,Metal,CUZN30BRASS,Isotropic,CuZn30 brass,250,1000,0.34,20,39500,167.5,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,115.5,0.000017,288.7,SI,192.5,105900
,CuZn33 brass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,118400,217.1,Curated engineering reference values; see Sources tab,8786,25.44,139.5,Metal,CUZN33BRASS,Isotropic,CuZn33 brass,250,1000,0.34,20,42430,179.9,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,124,0.000017,310.1,SI,206.7,113700
