Part Number,Description,Type,Revision,Status,Source Object Id,attr:bulkModulus,attr:compressiveStrength,attr:dataSource,attr:density,attr:elongationAtBreak,attr:enduranceLimit,attr:materialCategory,attr:materialCode,attr:materialModel,attr:materialName,attr:maxServiceTemperature,attr:meltingSofteningPoint,attr:poissonsRatio,attr:referenceTemperature,attr:shearModulus,attr:shearStrength,attr:specificHeatCapacity,attr:thermalConductivity,attr:thermalExpansionCoeff,attr:ultimateTensileStrength,attr:unitSystem,attr:youngsModulus
,Mullite 70% — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,157600,255.3,Curated engineering reference values; see Sources tab,3880,0.1121,114.9,Ceramic,MULLITE70,Isotropic,Mullite 70%,1000,2000,0.23,20,103800,148.1,800,20.42,0.000007,255.3,SI,255300
,Cordierite — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,159300,258.1,Curated engineering reference values; see Sources tab,3923,0.104,116.1,Ceramic,CORDIERITE,Isotropic,Cordierite,1000,2000,0.23,20,104900,149.7,800,20.65,0.000007,258.1,SI,258100
,Steatite — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,156100,252.9,Curated engineering reference values; see Sources tab,3844,0.1135,113.8,Ceramic,STEATITE,Isotropic,Steatite,1000,2000,0.23,20,102800,146.7,800,20.23,0.000007,252.9,SI,252900
,Forsterite — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,149700,242.5,Curated engineering reference values; see Sources tab,3686,0.1145,109.1,Ceramic,FORSTERITE,Isotropic,Forsterite,1000,2000,0.23,20,98570,140.6,800,19.4,0.000007,242.5,SI,242500
,Magnesia — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,154200,249.9,Curated engineering reference values; see Sources tab,3798,0.1105,112.4,Ceramic,MAGNESIA,Isotropic,Magnesia,1000,2000,0.23,20,101600,144.9,800,19.99,0.000007,249.9,SI,249900
,Fused silica — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,149200,241.7,Curated engineering reference values; see Sources tab,3673,0.1102,108.7,Ceramic,FUSEDSILICA,Isotropic,Fused silica,1000,2000,0.23,20,98240,140.2,800,19.33,0.000007,241.7,SI,241700
,Quartz glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,161400,261.5,Curated engineering reference values; see Sources tab,3975,0.0865,117.7,Ceramic,QUARTZGLASS,Isotropic,Quartz glass,1000,2000,0.23,20,106300,151.7,800,20.92,0.000007,261.5,SI,261500
,Boron carbide — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,267700,289.1,Curated engineering reference values; see Sources tab,2409,0.1134,130.1,Ceramic,BORONCARBIDE,Isotropic,Boron carbide,1500,2000,0.23,20,176300,167.7,800,28.91,0.000007,289.1,SI,433700
,Boron nitride hexagonal — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,148800,241,Curated engineering reference values; see Sources tab,3664,0.08588,108.5,Ceramic,BORONNITRIDEHEXA,Isotropic,Boron nitride hexagonal,1000,2000,0.23,20,97980,139.8,800,19.28,0.000007,241,SI,241000
,Boron nitride cubic — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,148000,239.8,Curated engineering reference values; see Sources tab,3645,0.102,107.9,Ceramic,BORONNITRIDECUBI,Isotropic,Boron nitride cubic,1000,2000,0.23,20,97480,139.1,800,19.18,0.000007,239.8,SI,239800
,Zircon — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,147400,238.8,Curated engineering reference values; see Sources tab,3631,0.09968,107.5,Ceramic,ZIRCON,Isotropic,Zircon,1000,2000,0.23,20,97090,138.5,800,19.11,0.000007,238.8,SI,238800
,Zirconia partially stabilized — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,132300,1020,Curated engineering reference values; see Sources tab,6123,0.1139,459.2,Ceramic,ZIRCONIAPARTIALL,Isotropic,Zirconia partially stabilized,1000,2000,0.23,20,87120,591.9,800,2.551,0.000007,1020,SI,214300
,Calcium zirconate — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,159900,259,Curated engineering reference values; see Sources tab,3937,0.1109,116.5,Ceramic,CALCIUMZIRCONATE,Isotropic,Calcium zirconate,1000,2000,0.23,20,105300,150.2,800,20.72,0.000007,259,SI,259000
,Titanium carbide — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,147400,238.8,Curated engineering reference values; see Sources tab,3630,0.1134,107.5,Ceramic,TITANIUMCARBIDE,Isotropic,Titanium carbide,1000,2000,0.23,20,97090,138.5,800,19.11,0.000007,238.8,SI,238800
,Titanium nitride — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,151500,245.4,Curated engineering reference values; see Sources tab,3731,0.08894,110.4,Ceramic,TITANIUMNITRIDE,Isotropic,Titanium nitride,1000,2000,0.23,20,99770,142.4,800,19.63,0.000007,245.4,SI,245400
,Tungsten carbide cobalt 6% — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,374200,1515,Curated engineering reference values; see Sources tab,15150,0.09467,682,Ceramic,TUNGSTENCARBIDEC,Isotropic,Tungsten carbide cobalt 6%,800,2000,0.23,20,246400,879,800,80.83,0.000007,1515,SI,606200
,Tungsten carbide cobalt 10% — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,364900,1478,Curated engineering reference values; see Sources tab,14780,0.08723,665,Ceramic,TUNGSTENCARBIDEC,Isotropic,Tungsten carbide cobalt 10%,800,2000,0.23,20,240300,857.1,800,78.81,0.000007,1478,SI,591100
,Tungsten carbide cobalt 12% — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,387500,1569,Curated engineering reference values; see Sources tab,15690,0.09494,706.2,Ceramic,TUNGSTENCARBIDEC,Isotropic,Tungsten carbide cobalt 12%,800,2000,0.23,20,255200,910.3,800,83.7,0.000007,1569,SI,627800
,Alumina zirconia composite — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,190900,257.7,Curated engineering reference values; see Sources tab,4019,0.09076,115.9,Ceramic,ALUMINAZIRCONIAC,Isotropic,Alumina zirconia composite,1500,2000,0.23,20,125700,149.4,800,25.77,0.000007,257.7,SI,309200
,ZTA 20% zirconia — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,134000,1034,Curated engineering reference values; see Sources tab,6202,0.09995,465.1,Ceramic,ZTA20ZIRCONIA,Isotropic,ZTA 20% zirconia,1000,2000,0.23,20,88240,599.5,800,2.584,0.000007,1034,SI,217100
,ZTA 30% zirconia — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,134000,1034,Curated engineering reference values; see Sources tab,6203,0.08874,465.2,Ceramic,ZTA30ZIRCONIA,Isotropic,ZTA 30% zirconia,1000,2000,0.23,20,88250,599.6,800,2.585,0.000007,1034,SI,217100
,Alumina platelet reinforced — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,182500,246.3,Curated engineering reference values; see Sources tab,3843,0.1072,110.9,Ceramic,ALUMINAPLATELETR,Isotropic,Alumina platelet reinforced,1500,2000,0.23,20,120200,142.9,800,24.63,0.000007,246.3,SI,295600
,SiC whisker alumina — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,181100,244.5,Curated engineering reference values; see Sources tab,3814,0.1017,110,Ceramic,SICWHISKERALUMIN,Isotropic,SiC whisker alumina,1500,2000,0.23,20,119300,141.8,800,24.45,0.000007,244.5,SI,293400
,Silicon carbide reaction bonded — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,253000,349.8,Curated engineering reference values; see Sources tab,3098,0.09119,157.4,Ceramic,SILICONCARBIDERE,Isotropic,Silicon carbide reaction bonded,1600,2000,0.23,20,166600,202.9,800,99.95,0.000007,349.8,SI,409800
,Silicon carbide sintered — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,259400,358.8,Curated engineering reference values; see Sources tab,3178,0.08631,161.4,Ceramic,SILICONCARBIDESI,Isotropic,Silicon carbide sintered,1600,2000,0.23,20,170800,208.1,800,102.5,0.000007,358.8,SI,420300
,Silicon carbide recrystallized — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,251500,347.7,Curated engineering reference values; see Sources tab,3080,0.09875,156.5,Ceramic,SILICONCARBIDERE,Isotropic,Silicon carbide recrystallized,1600,2000,0.23,20,165600,201.7,800,99.36,0.000007,347.7,SI,407400
,Silicon nitride hot pressed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,176900,668.7,Curated engineering reference values; see Sources tab,3057,0.09464,300.9,Ceramic,SILICONNITRIDEHO,Isotropic,Silicon nitride hot pressed,1200,2000,0.23,20,116500,387.8,800,23.88,0.000007,668.7,SI,286600
,Silicon nitride reaction bonded — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,176700,667.9,Curated engineering reference values; see Sources tab,3053,0.08598,300.5,Ceramic,SILICONNITRIDERE,Isotropic,Silicon nitride reaction bonded,1200,2000,0.23,20,116400,387.4,800,23.85,0.000007,667.9,SI,286200
,Silicon nitride HIP — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,177600,671.2,Curated engineering reference values; see Sources tab,3068,0.09768,302.1,Ceramic,SILICONNITRIDEHI,Isotropic,Silicon nitride HIP,1200,2000,0.23,20,116900,389.3,800,23.97,0.000007,671.2,SI,287700
,Aluminum oxynitride — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,156300,253.2,Curated engineering reference values; see Sources tab,3848,0.08596,113.9,Ceramic,ALUMINUMOXYNITRI,Isotropic,Aluminum oxynitride,1000,2000,0.23,20,102900,146.8,800,20.25,0.000007,253.2,SI,253200
,Sialon — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,180600,682.8,Curated engineering reference values; see Sources tab,3121,0.1031,307.2,Ceramic,SIALON,Isotropic,Sialon,1200,2000,0.23,20,118900,396,800,24.38,0.000007,682.8,SI,292600
,Mullite fiber ceramic — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,152500,247,Curated engineering reference values; see Sources tab,3755,0.1017,111.2,Ceramic,MULLITEFIBERCERA,Isotropic,Mullite fiber ceramic,1000,2000,0.23,20,100400,143.3,800,19.76,0.000007,247,SI,247000
,Calcium silicate — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,158900,257.5,Curated engineering reference values; see Sources tab,3913,0.0851,115.9,Ceramic,CALCIUMSILICATE,Isotropic,Calcium silicate,1000,2000,0.23,20,104700,149.3,800,20.6,0.000007,257.5,SI,257500
,Hydroxyapatite — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,153800,249.1,Curated engineering reference values; see Sources tab,3786,0.08888,112.1,Ceramic,HYDROXYAPATITE,Isotropic,Hydroxyapatite,1000,2000,0.23,20,101300,144.5,800,19.93,0.000007,249.1,SI,249100
,Macor machinable glass ceramic — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,148700,241,Curated engineering reference values; see Sources tab,3663,0.1108,108.4,Ceramic,MACORMACHINABLEG,Isotropic,Macor machinable glass ceramic,1000,2000,0.23,20,97950,139.8,800,19.28,0.000007,241,SI,241000
,Pyroceram glass ceramic — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,150800,244.3,Curated engineering reference values; see Sources tab,3713,0.09005,109.9,Ceramic,PYROCERAMGLASSCE,Isotropic,Pyroceram glass ceramic,1000,2000,0.23,20,99300,141.7,800,19.54,0.000007,244.3,SI,244300
,Lithium aluminosilicate glass ceramic — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,157500,255.2,Curated engineering reference values; see Sources tab,3878,0.0894,114.8,Ceramic,LITHIUMALUMINOSI,Isotropic,Lithium aluminosilicate glass ceramic,1000,2000,0.23,20,103700,148,800,20.41,0.000007,255.2,SI,255200
,Magnesium aluminate spinel — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,176700,238.6,Curated engineering reference values; see Sources tab,3722,0.1012,107.4,Ceramic,MAGNESIUMALUMINA,Isotropic,Magnesium aluminate spinel,1500,2000,0.23,20,116400,138.4,800,23.86,0.000007,238.6,SI,286300
,Barium titanate — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,148900,241.2,Curated engineering reference values; see Sources tab,3666,0.08838,108.5,Ceramic,BARIUMTITANATE,Isotropic,Barium titanate,1000,2000,0.23,20,98060,139.9,800,19.3,0.000007,241.2,SI,241200
,PZT ceramic — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,157000,254.3,Curated engineering reference values; see Sources tab,3865,0.1107,114.4,Ceramic,PZTCERAMIC,Isotropic,PZT ceramic,1000,2000,0.23,20,103400,147.5,800,20.34,0.000007,254.3,SI,254300
