Part Number,Description,Type,Revision,Status,Source Object Id,attr:bulkModulus,attr:compressiveStrength,attr:dataSource,attr:density,attr:elongationAtBreak,attr:enduranceLimit,attr:materialCategory,attr:materialCode,attr:materialModel,attr:materialName,attr:maxServiceTemperature,attr:meltingSofteningPoint,attr:poissonsRatio,attr:referenceTemperature,attr:shearModulus,attr:shearStrength,attr:specificHeatCapacity,attr:specificationStandard,attr:thermalConductivity,attr:thermalExpansionCoeff,attr:ultimateTensileStrength,attr:unitSystem,attr:yieldStrength,attr:youngsModulus
,PE-HD — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3620,52.12,Curated engineering reference values; see Sources tab,1147,10.16,28.15,Polymer,PEHD,Isotropic,PE-HD,100,200,0.38,20,944.3,36.28,1400,Representative resin/grade; verify manufacturer datasheet.,0.2606,0.00008,62.55,SI,52.12,2606
,PE-LD — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3337,48.05,Curated engineering reference values; see Sources tab,1057,9.342,25.95,Polymer,PELD,Isotropic,PE-LD,100,200,0.38,20,870.4,33.44,1400,Representative resin/grade; verify manufacturer datasheet.,0.2402,0.00008,57.66,SI,48.05,2402
,PE-UHMW — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,939.6,48.32,Curated engineering reference values; see Sources tab,898.8,11.37,26.09,Polymer,PEUHMW,Isotropic,PE-UHMW,80,135,0.38,20,245.1,33.63,1900,Representative resin/grade; verify manufacturer datasheet.,0.3866,0.00008,57.99,SI,48.32,676.5
,PP homopolymer — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3409,49.09,Curated engineering reference values; see Sources tab,1080,8.914,26.51,Polymer,PPHOMOPOLYMER,Isotropic,PP homopolymer,100,200,0.38,20,889.3,34.17,1400,Representative resin/grade; verify manufacturer datasheet.,0.2454,0.00008,58.91,SI,49.09,2454
,PP copolymer — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3505,50.47,Curated engineering reference values; see Sources tab,1110,9.507,27.25,Polymer,PPCOPOLYMER,Isotropic,PP copolymer,100,200,0.38,20,914.3,35.13,1400,Representative resin/grade; verify manufacturer datasheet.,0.2524,0.00008,60.57,SI,50.47,2524
,PP GF30 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3501,50.42,Curated engineering reference values; see Sources tab,1109,10.49,27.23,Polymer,PPGF30,Isotropic,PP GF30,100,200,0.38,20,913.4,35.09,1400,Representative resin/grade; verify manufacturer datasheet.,0.2521,0.00008,60.5,SI,50.42,2521
,PPS — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,5093,52.39,Curated engineering reference values; see Sources tab,1415,10.08,28.29,Polymer,PPS,Isotropic,PPS,200,280,0.38,20,1329,36.46,1000,Representative resin/grade; verify manufacturer datasheet.,0.3143,0.00008,62.87,SI,52.39,3667
,PPS GF40 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,5014,51.57,Curated engineering reference values; see Sources tab,1393,11.05,27.85,Polymer,PPSGF40,Isotropic,PPS GF40,200,280,0.38,20,1308,35.9,1000,Representative resin/grade; verify manufacturer datasheet.,0.3094,0.00008,61.89,SI,51.57,3610
,PEEK unfilled — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,4998,51.41,Curated engineering reference values; see Sources tab,1357,9.189,27.76,Polymer,PEEKUNFILLED,Isotropic,PEEK unfilled,250,343,0.38,20,1304,35.78,1300,Representative resin/grade; verify manufacturer datasheet.,0.2571,0.00008,61.69,SI,51.41,3599
,PEEK GF30 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,5075,52.2,Curated engineering reference values; see Sources tab,1378,10.91,28.19,Polymer,PEEKGF30,Isotropic,PEEK GF30,250,343,0.38,20,1324,36.33,1300,Representative resin/grade; verify manufacturer datasheet.,0.261,0.00008,62.63,SI,52.2,3654
,PEEK CF30 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,4906,50.46,Curated engineering reference values; see Sources tab,1332,9.09,27.25,Polymer,PEEKCF30,Isotropic,PEEK CF30,250,343,0.38,20,1280,35.12,1300,Representative resin/grade; verify manufacturer datasheet.,0.2523,0.00008,60.56,SI,50.46,3532
,PEI — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3569,51.39,Curated engineering reference values; see Sources tab,1131,9.206,27.75,Polymer,PEI,Isotropic,PEI,100,200,0.38,20,931.1,35.77,1400,Representative resin/grade; verify manufacturer datasheet.,0.257,0.00008,61.67,SI,51.39,2570
,PEI GF30 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3516,50.63,Curated engineering reference values; see Sources tab,1114,10.57,27.34,Polymer,PEIGF30,Isotropic,PEI GF30,100,200,0.38,20,917.3,35.24,1400,Representative resin/grade; verify manufacturer datasheet.,0.2532,0.00008,60.76,SI,50.63,2532
,PES — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3396,48.91,Curated engineering reference values; see Sources tab,1076,9.2,26.41,Polymer,PES,Isotropic,PES,100,200,0.38,20,886,34.04,1400,Representative resin/grade; verify manufacturer datasheet.,0.2445,0.00008,58.69,SI,48.91,2445
,PSU — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3589,51.68,Curated engineering reference values; see Sources tab,1137,10.67,27.91,Polymer,PSU,Isotropic,PSU,100,200,0.38,20,936.3,35.97,1400,Representative resin/grade; verify manufacturer datasheet.,0.2584,0.00008,62.02,SI,51.68,2584
,PPSU — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,4930,50.71,Curated engineering reference values; see Sources tab,1369,10.76,27.38,Polymer,PPSU,Isotropic,PPSU,200,280,0.38,20,1286,35.29,1000,Representative resin/grade; verify manufacturer datasheet.,0.3043,0.00008,60.85,SI,50.71,3550
,PVDF — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3345,48.17,Curated engineering reference values; see Sources tab,1060,9.781,26.01,Polymer,PVDF,Isotropic,PVDF,100,200,0.38,20,872.6,33.53,1400,Representative resin/grade; verify manufacturer datasheet.,0.2408,0.00008,57.8,SI,48.17,2408
,PTFE — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,728.1,47.66,Curated engineering reference values; see Sources tab,2097,11.41,25.74,Polymer,PTFE,Isotropic,PTFE,260,327,0.38,20,189.9,33.17,1000,Representative resin/grade; verify manufacturer datasheet.,0.2383,0.00008,57.19,SI,47.66,524.2
,PTFE glass filled 25% — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,763.3,49.96,Curated engineering reference values; see Sources tab,2198,9.896,26.98,Polymer,PTFEGLASSFILLED2,Isotropic,PTFE glass filled 25%,260,327,0.38,20,199.1,34.77,1000,Representative resin/grade; verify manufacturer datasheet.,0.2498,0.00008,59.95,SI,49.96,549.6
,PTFE carbon filled — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,795.1,52.04,Curated engineering reference values; see Sources tab,2290,9.194,28.1,Polymer,PTFECARBONFILLED,Isotropic,PTFE carbon filled,260,327,0.38,20,207.4,36.22,1000,Representative resin/grade; verify manufacturer datasheet.,0.2602,0.00008,62.45,SI,52.04,572.4
,PVC rigid — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3497,50.36,Curated engineering reference values; see Sources tab,1108,10.06,27.19,Polymer,PVCRIGID,Isotropic,PVC rigid,100,200,0.38,20,912.3,35.05,1400,Representative resin/grade; verify manufacturer datasheet.,0.2518,0.00008,60.43,SI,50.36,2518
,PVC flexible — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3384,48.72,Curated engineering reference values; see Sources tab,1072,10.4,26.31,Polymer,PVCFLEXIBLE,Isotropic,PVC flexible,100,200,0.38,20,882.7,33.91,1400,Representative resin/grade; verify manufacturer datasheet.,0.2436,0.00008,58.47,SI,48.72,2436
,PC — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3298,50.53,Curated engineering reference values; see Sources tab,1213,8.946,27.28,Polymer,PC,Isotropic,PC,115,0,0.38,20,860.4,35.17,1200,Representative resin/grade; verify manufacturer datasheet.,0.2021,0.00008,60.63,SI,50.53,2375
,PC GF20 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3206,49.11,Curated engineering reference values; see Sources tab,1179,8.839,26.52,Polymer,PCGF20,Isotropic,PC GF20,115,0,0.38,20,836.3,34.18,1200,Representative resin/grade; verify manufacturer datasheet.,0.1965,0.00008,58.94,SI,49.11,2308
,PMMA — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3425,49.32,Curated engineering reference values; see Sources tab,1085,10.66,26.63,Polymer,PMMA,Isotropic,PMMA,100,200,0.38,20,893.5,34.33,1400,Representative resin/grade; verify manufacturer datasheet.,0.2466,0.00008,59.18,SI,49.32,2466
,PBT — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3543,51.02,Curated engineering reference values; see Sources tab,1123,9.406,27.55,Polymer,PBT,Isotropic,PBT,100,200,0.38,20,924.4,35.51,1400,Representative resin/grade; verify manufacturer datasheet.,0.2551,0.00008,61.23,SI,51.02,2551
,PBT GF30 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3474,50.03,Curated engineering reference values; see Sources tab,1101,9.005,27.01,Polymer,PBTGF30,Isotropic,PBT GF30,100,200,0.38,20,906.3,34.82,1400,Representative resin/grade; verify manufacturer datasheet.,0.2501,0.00008,60.03,SI,50.03,2501
,PET — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3536,50.91,Curated engineering reference values; see Sources tab,1120,10.38,27.49,Polymer,PET,Isotropic,PET,100,200,0.38,20,922.3,35.44,1400,Representative resin/grade; verify manufacturer datasheet.,0.2546,0.00008,61.09,SI,50.91,2546
,PET GF30 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3351,48.25,Curated engineering reference values; see Sources tab,1061,11.03,26.05,Polymer,PETGF30,Isotropic,PET GF30,100,200,0.38,20,874.1,33.58,1400,Representative resin/grade; verify manufacturer datasheet.,0.2412,0.00008,57.9,SI,48.25,2412
,POM copolymer — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3449,49.67,Curated engineering reference values; see Sources tab,1093,9.311,26.82,Polymer,POMCOPOLYMER,Isotropic,POM copolymer,100,200,0.38,20,899.8,34.57,1400,Representative resin/grade; verify manufacturer datasheet.,0.2484,0.00008,59.61,SI,49.67,2484
,PVDF GF30 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3564,51.32,Curated engineering reference values; see Sources tab,1129,10.26,27.71,Polymer,PVDFGF30,Isotropic,PVDF GF30,100,200,0.38,20,929.7,35.72,1400,Representative resin/grade; verify manufacturer datasheet.,0.2566,0.00008,61.59,SI,51.32,2566
,ETFE — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3565,51.34,Curated engineering reference values; see Sources tab,1129,10.8,27.72,Polymer,ETFE,Isotropic,ETFE,100,200,0.38,20,930.1,35.73,1400,Representative resin/grade; verify manufacturer datasheet.,0.2567,0.00008,61.61,SI,51.34,2567
,ECTFE — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3331,47.97,Curated engineering reference values; see Sources tab,1055,10.01,25.9,Polymer,ECTFE,Isotropic,ECTFE,100,200,0.38,20,868.9,33.38,1400,Representative resin/grade; verify manufacturer datasheet.,0.2398,0.00008,57.56,SI,47.97,2398
,FEP — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3541,50.99,Curated engineering reference values; see Sources tab,1122,9.521,27.54,Polymer,FEP,Isotropic,FEP,100,200,0.38,20,923.8,35.49,1400,Representative resin/grade; verify manufacturer datasheet.,0.255,0.00008,61.19,SI,50.99,2550
,PA 11 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3562,51.3,Curated engineering reference values; see Sources tab,1170,10.98,27.7,Polymer,PA11,Isotropic,PA 11,100,220,0.38,20,929.3,35.7,1700,Representative resin/grade; verify manufacturer datasheet.,0.2565,0.00008,61.56,SI,51.3,2565
,PA 12 GF30 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3630,52.27,Curated engineering reference values; see Sources tab,1192,10.9,28.23,Polymer,PA12GF30,Isotropic,PA 12 GF30,100,220,0.38,20,947,36.38,1700,Representative resin/grade; verify manufacturer datasheet.,0.2614,0.00008,62.73,SI,52.27,2614
,PEEK bearing grade — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,4625,47.57,Curated engineering reference values; see Sources tab,1256,10.11,25.69,Polymer,PEEKBEARINGGRADE,Isotropic,PEEK bearing grade,250,343,0.38,20,1207,33.11,1300,Representative resin/grade; verify manufacturer datasheet.,0.2379,0.00008,57.09,SI,47.57,3330
,Phenolic resin — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3528,50.81,Curated engineering reference values; see Sources tab,1118,9.257,27.43,Polymer,PHENOLICRESIN,Isotropic,Phenolic resin,100,200,0.38,20,920.4,35.36,1400,Representative resin/grade; verify manufacturer datasheet.,0.254,0.00008,60.97,SI,50.81,2540
,Epoxy resin — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3464,49.88,Curated engineering reference values; see Sources tab,1097,10.39,26.94,Polymer,EPOXYRESIN,Isotropic,Epoxy resin,100,200,0.38,20,903.7,34.72,1400,Representative resin/grade; verify manufacturer datasheet.,0.2494,0.00008,59.86,SI,49.88,2494
,Polyurethane rigid — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3316,47.75,Curated engineering reference values; see Sources tab,1051,10.81,25.79,Polymer,POLYURETHANERIGI,Isotropic,Polyurethane rigid,100,200,0.38,20,865.1,33.23,1400,Representative resin/grade; verify manufacturer datasheet.,0.2388,0.00008,57.3,SI,47.75,2388
