Part Number,Description,Type,Revision,Status,Source Object Id,attr:bulkModulus,attr:compressiveStrength,attr:dataSource,attr:density,attr:elongationAtBreak,attr:enduranceLimit,attr:materialCategory,attr:materialCode,attr:materialModel,attr:materialName,attr:maxServiceTemperature,attr:meltingSofteningPoint,attr:poissonsRatio,attr:referenceTemperature,attr:shearModulus,attr:shearStrength,attr:specificHeatCapacity,attr:thermalConductivity,attr:thermalExpansionCoeff,attr:ultimateTensileStrength,attr:unitSystem,attr:youngsModulus
,Laminated soda-lime glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,41380,49.65,Curated engineering reference values; see Sources tab,2483,0.1076,22.34,Ceramic,LAMINATEDSODALIM,Isotropic,Laminated soda-lime glass,400,1400,0.22,20,28490,28.8,800,1.192,0.000009,49.65,SI,69520
,Low-iron float glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,42320,50.78,Curated engineering reference values; see Sources tab,2539,0.1097,22.85,Ceramic,LOWIRONFLOATGLAS,Isotropic,Low-iron float glass,400,1400,0.22,20,29140,29.45,800,1.219,0.000009,50.78,SI,71100
,Lead glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,39630,47.56,Curated engineering reference values; see Sources tab,2378,0.1126,21.4,Ceramic,LEADGLASS,Isotropic,Lead glass,400,1400,0.22,20,27290,27.58,800,1.141,0.000009,47.56,SI,66580
,Optical crown glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,41590,49.91,Curated engineering reference values; see Sources tab,2496,0.1112,22.46,Ceramic,OPTICALCROWNGLAS,Isotropic,Optical crown glass,400,1400,0.22,20,28640,28.95,800,1.198,0.000009,49.91,SI,69880
,Optical flint glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,42660,51.19,Curated engineering reference values; see Sources tab,2559,0.1088,23.04,Ceramic,OPTICALFLINTGLAS,Isotropic,Optical flint glass,400,1400,0.22,20,29370,29.69,800,1.229,0.000009,51.19,SI,71660
,Pyrex-type borosilicate — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,38150,50.07,Curated engineering reference values; see Sources tab,2233,0.1088,22.53,Ceramic,PYREXTYPEBOROSIL,Isotropic,Pyrex-type borosilicate,500,820,0.22,20,26270,29.04,830,1.102,0.0000033,50.07,SI,64090
,Quartz glass UV grade — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,43180,50.38,Curated engineering reference values; see Sources tab,2217,0.08539,22.67,Ceramic,QUARTZGLASSUVGRA,Isotropic,Quartz glass UV grade,900,1700,0.22,20,29730,29.22,740,1.411,0.00000055,50.38,SI,72550
,Quartz glass IR grade — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,41310,48.19,Curated engineering reference values; see Sources tab,2121,0.1059,21.69,Ceramic,QUARTZGLASSIRGRA,Isotropic,Quartz glass IR grade,900,1700,0.22,20,28440,27.95,740,1.349,0.00000055,48.19,SI,69400
,Glass ceramic lithium aluminosilicate — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,42530,51.03,Curated engineering reference values; see Sources tab,2552,0.0894,22.96,Ceramic,GLASSCERAMICLITH,Isotropic,Glass ceramic lithium aluminosilicate,400,1400,0.22,20,29280,29.6,800,1.225,0.000009,51.03,SI,71440
,Glass ceramic machinable — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,42420,50.9,Curated engineering reference values; see Sources tab,2545,0.111,22.91,Ceramic,GLASSCERAMICMACH,Isotropic,Glass ceramic machinable,400,1400,0.22,20,29210,29.52,800,1.222,0.000009,50.9,SI,71260
,Fiberglass E-glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,43670,52.4,Curated engineering reference values; see Sources tab,2620,0.1112,23.58,Ceramic,FIBERGLASSEGLASS,Isotropic,Fiberglass E-glass,400,1400,0.22,20,30070,30.39,800,1.258,0.000009,52.4,SI,73370
,Fiberglass S-glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,39970,47.96,Curated engineering reference values; see Sources tab,2398,0.09974,21.58,Ceramic,FIBERGLASSSGLASS,Isotropic,Fiberglass S-glass,400,1400,0.22,20,27520,27.82,800,1.151,0.000009,47.96,SI,67150
,Fiberglass C-glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,40890,49.07,Curated engineering reference values; see Sources tab,2454,0.0982,22.08,Ceramic,FIBERGLASSCGLASS,Isotropic,Fiberglass C-glass,400,1400,0.22,20,28160,28.46,800,1.178,0.000009,49.07,SI,68700
,Fiberglass AR glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,41150,49.38,Curated engineering reference values; see Sources tab,2469,0.08806,22.22,Ceramic,FIBERGLASSARGLAS,Isotropic,Fiberglass AR glass,400,1400,0.22,20,28330,28.64,800,1.185,0.000009,49.38,SI,69130
,Foam glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,4744,49.81,Curated engineering reference values; see Sources tab,149.4,0.1129,22.42,Ceramic,FOAMGLASS,Isotropic,Foam glass,400,700,0.22,20,3266,28.89,800,0.05978,0.000009,49.81,SI,7970
,Cellular glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,4565,47.94,Curated engineering reference values; see Sources tab,143.8,0.08798,21.57,Ceramic,CELLULARGLASS,Isotropic,Cellular glass,400,700,0.22,20,3143,27.8,800,0.05752,0.000009,47.94,SI,7670
,Container glass amber — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,43530,52.24,Curated engineering reference values; see Sources tab,2612,0.09492,23.51,Ceramic,CONTAINERGLASSAM,Isotropic,Container glass amber,400,1400,0.22,20,29970,30.3,800,1.254,0.000009,52.24,SI,73130
,Container glass flint — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,42310,50.78,Curated engineering reference values; see Sources tab,2539,0.09233,22.85,Ceramic,CONTAINERGLASSFL,Isotropic,Container glass flint,400,1400,0.22,20,29130,29.45,800,1.219,0.000009,50.78,SI,71090
,Container glass green — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,43260,51.91,Curated engineering reference values; see Sources tab,2596,0.1036,23.36,Ceramic,CONTAINERGLASSGR,Isotropic,Container glass green,400,1400,0.22,20,29790,30.11,800,1.246,0.000009,51.91,SI,72680
,Phosphate glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,41240,49.49,Curated engineering reference values; see Sources tab,2475,0.09662,22.27,Ceramic,PHOSPHATEGLASS,Isotropic,Phosphate glass,400,1400,0.22,20,28400,28.71,800,1.188,0.000009,49.49,SI,69290
,Tellurite glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,39800,47.77,Curated engineering reference values; see Sources tab,2388,0.0912,21.49,Ceramic,TELLURITEGLASS,Isotropic,Tellurite glass,400,1400,0.22,20,27410,27.7,800,1.146,0.000009,47.77,SI,66870
,Chalcogenide glass As2S3 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,43750,52.5,Curated engineering reference values; see Sources tab,2625,0.114,23.62,Ceramic,CHALCOGENIDEGLAS,Isotropic,Chalcogenide glass As2S3,400,1400,0.22,20,30120,30.45,800,1.26,0.000009,52.5,SI,73500
,Chalcogenide glass Ge-As-Se — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,41200,49.44,Curated engineering reference values; see Sources tab,2472,0.1116,22.25,Ceramic,CHALCOGENIDEGLAS,Isotropic,Chalcogenide glass Ge-As-Se,400,1400,0.22,20,28370,28.68,800,1.187,0.000009,49.44,SI,69220
,Borosilicate sealing glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,36580,48.01,Curated engineering reference values; see Sources tab,2141,0.1043,21.6,Ceramic,BOROSILICATESEAL,Isotropic,Borosilicate sealing glass,500,820,0.22,20,25180,27.84,830,1.056,0.0000033,48.01,SI,61450
,Electrical glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,41130,49.36,Curated engineering reference values; see Sources tab,2468,0.08901,22.21,Ceramic,ELECTRICALGLASS,Isotropic,Electrical glass,400,1400,0.22,20,28320,28.63,800,1.185,0.000009,49.36,SI,69100
,Insulating glass fiber — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,40290,48.35,Curated engineering reference values; see Sources tab,2417,0.1083,21.76,Ceramic,INSULATINGGLASSF,Isotropic,Insulating glass fiber,400,1400,0.22,20,27740,28.04,800,1.16,0.000009,48.35,SI,67690
,Glass microspheres — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,40290,48.35,Curated engineering reference values; see Sources tab,2418,0.08742,21.76,Ceramic,GLASSMICROSPHERE,Isotropic,Glass microspheres,400,1400,0.22,20,27740,28.04,800,1.16,0.000009,48.35,SI,67690
,Glass beads soda-lime — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,42220,50.66,Curated engineering reference values; see Sources tab,2533,0.09148,22.8,Ceramic,GLASSBEADSSODALI,Isotropic,Glass beads soda-lime,400,1400,0.22,20,29070,29.38,800,1.216,0.000009,50.66,SI,70920
,Glass beads borosilicate — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,39050,51.25,Curated engineering reference values; see Sources tab,2286,0.08631,23.06,Ceramic,GLASSBEADSBOROSI,Isotropic,Glass beads borosilicate,500,820,0.22,20,26890,29.73,830,1.128,0.0000033,51.25,SI,65600
,Fused quartz — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,44960,52.46,Curated engineering reference values; see Sources tab,2308,0.1045,23.61,Ceramic,FUSEDQUARTZ,Isotropic,Fused quartz,900,1700,0.22,20,30960,30.43,740,1.469,0.00000055,52.46,SI,75540
,Silica optical glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,42630,51.16,Curated engineering reference values; see Sources tab,2558,0.1016,23.02,Ceramic,SILICAOPTICALGLA,Isotropic,Silica optical glass,400,1400,0.22,20,29350,29.67,800,1.228,0.000009,51.16,SI,71620
,BK7 optical glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,40140,48.17,Curated engineering reference values; see Sources tab,2409,0.09607,21.68,Ceramic,BK7OPTICALGLASS,Isotropic,BK7 optical glass,400,1400,0.22,20,27640,27.94,800,1.156,0.000009,48.17,SI,67440
,Fused silica high purity — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,43190,50.39,Curated engineering reference values; see Sources tab,2217,0.09987,22.67,Ceramic,FUSEDSILICAHIGHP,Isotropic,Fused silica high purity,900,1700,0.22,20,29740,29.22,740,1.411,0.00000055,50.39,SI,72560
,Ceramic glass mica — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,41770,50.13,Curated engineering reference values; see Sources tab,2506,0.09182,22.56,Ceramic,CERAMICGLASSMICA,Isotropic,Ceramic glass mica,400,1400,0.22,20,28760,29.07,800,1.203,0.000009,50.13,SI,70180
,Bioactive glass 45S5 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,39950,47.94,Curated engineering reference values; see Sources tab,2397,0.09768,21.58,Ceramic,BIOACTIVEGLASS45,Isotropic,Bioactive glass 45S5,400,1400,0.22,20,27510,27.81,800,1.151,0.000009,47.94,SI,67120
,Bioactive glass 58S — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,42630,51.16,Curated engineering reference values; see Sources tab,2558,0.09986,23.02,Ceramic,BIOACTIVEGLASS58,Isotropic,Bioactive glass 58S,400,1400,0.22,20,29350,29.67,800,1.228,0.000009,51.16,SI,71620
,Alkaline earth boroaluminosilicate — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,40680,48.81,Curated engineering reference values; see Sources tab,2441,0.1079,21.97,Ceramic,ALKALINEEARTHBOR,Isotropic,Alkaline earth boroaluminosilicate,400,1400,0.22,20,28010,28.31,800,1.171,0.000009,48.81,SI,68340
,Sapphire single crystal — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,206500,50.27,Curated engineering reference values; see Sources tab,4002,0.09863,22.62,Ceramic,SAPPHIRESINGLECR,Isotropic,Sapphire single crystal,1500,2050,0.22,20,142200,29.16,750,30.16,0.0000053,50.27,SI,346900
,Sapphire polycrystalline — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,210800,51.32,Curated engineering reference values; see Sources tab,4085,0.09835,23.1,Ceramic,SAPPHIREPOLYCRYS,Isotropic,Sapphire polycrystalline,1500,2050,0.22,20,145100,29.77,750,30.79,0.0000053,51.32,SI,354100
,Gorilla-type aluminosilicate — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,41410,49.69,Curated engineering reference values; see Sources tab,2485,0.09099,22.36,Ceramic,GORILLATYPEALUMI,Isotropic,Gorilla-type aluminosilicate,400,1400,0.22,20,28510,28.82,800,1.193,0.000009,49.69,SI,69570
